document_title,question_text,short_answer,yes_no_answer
List of Chief Ministers of Tamil Nadu,chief ministers of tamil nadu mentioned on wikipedia,"[{'short_answer1': [{'end_byte': 53002, 'end_token': 595, 'start_byte': 52980, 'start_token': 592}, {'end_byte': 53678, 'end_token': 636, 'start_byte': 53663, 'start_token': 633}, {'end_byte': 54518, 'end_token': 668, 'start_byte': 54503, 'start_token': 665}, {'end_byte': 55276, 'end_token': 706, 'start_byte': 55263, 'start_token': 704}, {'end_byte': 56279, 'end_token': 746, 'start_byte': 56261, 'start_token': 743}, {'end_byte': 56926, 'end_token': 793, 'start_byte': 56882, 'start_token': 785}, {'end_byte': 57663, 'end_token': 825, 'start_byte': 57642, 'start_token': 822}, {'end_byte': 58208, 'end_token': 864, 'start_byte': 58197, 'start_token': 862}, {'end_byte': 58928, 'end_token': 901, 'start_byte': 58907, 'start_token': 898}, {'end_byte': 59743, 'end_token': 937, 'start_byte': 59718, 'start_token': 933}, {'end_byte': 61098, 'end_token': 979, 'start_byte': 61080, 'start_token': 977}, {'end_byte': 62259, 'end_token': 1046, 'start_byte': 62241, 'start_token': 1044}, {'end_byte': 63281, 'end_token': 1089, 'start_byte': 63257, 'start_token': 1086}, {'end_byte': 63573, 'end_token': 1125, 'start_byte': 63551, 'start_token': 1122}]}, {'short_answer2': [{'end_byte': 81034, 'end_token': 2042, 'start_byte': 81019, 'start_token': 2040}, {'end_byte': 82314, 'end_token': 2080, 'start_byte': 82295, 'start_token': 2078}, {'end_byte': 82713, 'end_token': 2112, 'start_byte': 82699, 'start_token': 2110}, {'end_byte': 84435, 'end_token': 2209, 'start_byte': 84417, 'start_token': 2207}, {'end_byte': 86916, 'end_token': 2395, 'start_byte': 86897, 'start_token': 2393}, {'end_byte': 88857, 'end_token': 2531, 'start_byte': 88842, 'start_token': 2529}, {'end_byte': 92028, 'end_token': 2660, 'start_byte': 92012, 'start_token': 2658}, {'end_byte': 99426, 'end_token': 2954, 'start_byte': 99412, 'start_token': 2952}]}]",NONE
Who We Are Instead,jars of clay who we are instead album,[],NONE
Chrysler Building,how long did it take for the chrysler building to be built,[],NONE
Jersey Shore (TV series),how did they find the jersey shore cast,[],NONE
Law of multiple proportions,what does the law of multiple proportions state,[],NONE
Civil–military relations,how does a non democratic state influence civil society,[],NONE
Red-winged blackbird,small black bird with orange stripe on wings,[],NONE
Cold War,what did the soviet union do in the cold war,[],NONE
List of Little House on the Prairie characters,who played solomon in little house on the prairie,"[{'short_answer1': [{'end_byte': 80613, 'end_token': 2625, 'start_byte': 80601, 'start_token': 2623}]}, {'short_answer2': [{'end_byte': 80613, 'end_token': 2625, 'start_byte': 80601, 'start_token': 2623}]}, {'short_answer3': [{'end_byte': 80613, 'end_token': 2625, 'start_byte': 80601, 'start_token': 2623}]}, {'short_answer4': [{'end_byte': 80613, 'end_token': 2625, 'start_byte': 80601, 'start_token': 2623}]}]",NONE
Field of Dreams,who are the baseball players in field of dreams,[],NONE
Windows 10,each release of windows adds new features and security measures,[],NONE
Arjuna Award,who got the first arjun award in athletics,"[{'short_answer1': [{'end_byte': 71066, 'end_token': 850, 'start_byte': 71042, 'start_token': 847}]}]",NONE
Bald eagle,what is the genus of a bald eagle,"[{'short_answer1': [{'end_byte': 135223, 'end_token': 146, 'start_byte': 135213, 'start_token': 145}]}, {'short_answer2': [{'end_byte': 135223, 'end_token': 146, 'start_byte': 135213, 'start_token': 145}]}, {'short_answer3': [{'end_byte': 135223, 'end_token': 146, 'start_byte': 135213, 'start_token': 145}]}, {'short_answer4': [{'end_byte': 135223, 'end_token': 146, 'start_byte': 135213, 'start_token': 145}]}]",NONE
The Best Years of Our Lives,who directed the best years of our lives,"[{'short_answer1': [{'end_byte': 48647, 'end_token': 327, 'start_byte': 48634, 'start_token': 325}]}, {'short_answer2': [{'end_byte': 48647, 'end_token': 327, 'start_byte': 48634, 'start_token': 325}]}, {'short_answer3': [{'end_byte': 48647, 'end_token': 327, 'start_byte': 48634, 'start_token': 325}]}, {'short_answer4': [{'end_byte': 48647, 'end_token': 327, 'start_byte': 48634, 'start_token': 325}]}]",NONE
Alternator,the field circuit of an alternator is supplied with,[],NONE
Taxpayer Identification Number,where is my tax id number on my w2,[],NONE
The Big Bang Theory (season 6),big bang theory season 6 episode 4 online,[],NONE
Section 33 of the Canadian Charter of Rights and Freedoms,what is the function of the notwithstanding clause in the canadian constitution,"[{'short_answer1': [{'end_byte': 64117, 'end_token': 308, 'start_byte': 63956, 'start_token': 296}]}, {'short_answer2': [{'end_byte': 64117, 'end_token': 308, 'start_byte': 63956, 'start_token': 296}]}]",NONE
Cluedo,colonel mustard in the library with a wrench,[],NONE
List of Iron Chef America episodes,who beat bobby flay on iron chef tournament of champions,[],NONE
DJ Got Us Fallin' in Love,the dj got us falling in love again,[],NONE
Forgotten man,who is the forgotten man according to sumner,"[{'short_answer1': [{'end_byte': 52849, 'end_token': 66, 'start_byte': 52799, 'start_token': 58}]}, {'short_answer2': [{'end_byte': 52849, 'end_token': 66, 'start_byte': 52799, 'start_token': 58}]}, {'short_answer3': [{'end_byte': 52849, 'end_token': 66, 'start_byte': 52799, 'start_token': 58}]}, {'short_answer4': [{'end_byte': 52849, 'end_token': 66, 'start_byte': 52799, 'start_token': 58}]}]",NONE
Coton in the Elms,which british city is farthest from the sea,"[{'short_answer1': [{'end_byte': 63736, 'end_token': 295, 'start_byte': 63719, 'start_token': 291}]}, {'short_answer2': [{'end_byte': 63736, 'end_token': 295, 'start_byte': 63719, 'start_token': 291}]}, {'short_answer3': [{'end_byte': 63736, 'end_token': 295, 'start_byte': 63719, 'start_token': 291}]}, {'short_answer4': [{'end_byte': 63736, 'end_token': 295, 'start_byte': 63719, 'start_token': 291}]}]",NONE
Better Call Saul,is better call saul prequel to breaking bad,[],YES
ICD-10,how many characters are present in icd-10 codes,"[{'short_answer1': [{'end_byte': 86220, 'end_token': 2223, 'start_byte': 86219, 'start_token': 2222}]}, {'short_answer2': [{'end_byte': 86220, 'end_token': 2223, 'start_byte': 86219, 'start_token': 2222}]}]",NONE
Extraction of petroleum,how do you get crude oil out of the ground,[],NONE
Meninges,which layer of the meninges is connected to the brain,"[{'short_answer1': [{'end_byte': 58817, 'end_token': 936, 'start_byte': 58760, 'start_token': 933}]}, {'short_answer2': [{'end_byte': 58817, 'end_token': 936, 'start_byte': 58760, 'start_token': 933}]}, {'short_answer3': [{'end_byte': 58817, 'end_token': 936, 'start_byte': 58760, 'start_token': 933}]}]",NONE
Proton pump,what is a proton pump in the human body,"[{'short_answer1': [{'end_byte': 52850, 'end_token': 52, 'start_byte': 52760, 'start_token': 38}]}, {'short_answer2': [{'end_byte': 52850, 'end_token': 52, 'start_byte': 52760, 'start_token': 38}]}, {'short_answer3': [{'end_byte': 52850, 'end_token': 52, 'start_byte': 52760, 'start_token': 38}]}]",NONE
Vasaloppet,how long is the womens cross country race,[],NONE
The Only One I Know,charlatans the only one i know lyrics meaning,[],NONE
Governor-General of India,who was first governor general of british india,"[{'short_answer1': [{'end_byte': 58550, 'end_token': 156, 'start_byte': 58535, 'start_token': 154}]}, {'short_answer2': [{'end_byte': 58550, 'end_token': 156, 'start_byte': 58535, 'start_token': 154}]}, {'short_answer3': [{'end_byte': 63330, 'end_token': 695, 'start_byte': 63315, 'start_token': 693}]}, {'short_answer4': [{'end_byte': 63330, 'end_token': 695, 'start_byte': 63315, 'start_token': 693}]}]",NONE
The House Carpenter's Daughter,natalie merchant the house carpenter's daughter album,[],NONE
Heart of palm,where is the heart of palm on a palm tree,"[{'short_answer1': [{'end_byte': 42188, 'end_token': 35, 'start_byte': 42121, 'start_token': 28}]}, {'short_answer2': [{'end_byte': 42140, 'end_token': 32, 'start_byte': 42126, 'start_token': 29}, {'end_byte': 42188, 'end_token': 35, 'start_byte': 42145, 'start_token': 33}]}, {'short_answer3': [{'end_byte': 42188, 'end_token': 35, 'start_byte': 42126, 'start_token': 29}]}, {'short_answer4': [{'end_byte': 47367, 'end_token': 468, 'start_byte': 47352, 'start_token': 465}]}]",NONE
What a Friend We Have in Jesus,history of hymn what a friend we have in jesus,[],NONE
West Side Story,what are maria and anita doing when the audience first meets them,[],NONE
Microsociology,what are some sociological issues that microsociology confronts,[],NONE
PGA Championship,which player won the pga championship by the most shots,"[{'short_answer1': [{'end_byte': 298579, 'end_token': 8510, 'start_byte': 298567, 'start_token': 8508}]}]",NONE
Blood Swept Lands and Seas of Red,who made the poppies at tower of london,"[{'short_answer1': [{'end_byte': 26999, 'end_token': 268, 'start_byte': 26987, 'start_token': 266}, {'end_byte': 27089, 'end_token': 276, 'start_byte': 27021, 'start_token': 272}]}, {'short_answer2': [{'end_byte': 26999, 'end_token': 268, 'start_byte': 26987, 'start_token': 266}, {'end_byte': 27089, 'end_token': 276, 'start_byte': 27080, 'start_token': 274}]}, {'short_answer3': [{'end_byte': 26999, 'end_token': 268, 'start_byte': 26987, 'start_token': 266}]}, {'short_answer4': [{'end_byte': 26999, 'end_token': 268, 'start_byte': 26987, 'start_token': 266}, {'end_byte': 27089, 'end_token': 276, 'start_byte': 27080, 'start_token': 274}]}]",NONE
Jeff Healey,who was the band that played in the movie road house,[],NONE
Inner core,what is the inner core of the earth made from,"[{'short_answer1': [{'end_byte': 56610, 'end_token': 99, 'start_byte': 56490, 'start_token': 90}]}, {'short_answer2': [{'end_byte': 56610, 'end_token': 99, 'start_byte': 56490, 'start_token': 90}]}, {'short_answer3': [{'end_byte': 56582, 'end_token': 95, 'start_byte': 56490, 'start_token': 90}, {'end_byte': 56610, 'end_token': 99, 'start_byte': 56591, 'start_token': 96}]}, {'short_answer4': [{'end_byte': 56582, 'end_token': 95, 'start_byte': 56563, 'start_token': 91}, {'end_byte': 56610, 'end_token': 99, 'start_byte': 56591, 'start_token': 96}]}]",NONE
British Army during the American Revolutionary War,where did the british army launch a successful invasion in 1776,"[{'short_answer1': [{'end_byte': 111419, 'end_token': 5935, 'start_byte': 111408, 'start_token': 5933}]}, {'short_answer2': [{'end_byte': 111151, 'end_token': 5907, 'start_byte': 111143, 'start_token': 5905}]}]",NONE
Boundaries between the continents of Earth,who drew the boundaries of the african countries,[],NONE
Topical medication,the structure in which topical steroids can be first absorbed into the person’s bloodstream is,[],NONE
Beat It,who wrote the guitar solo in beat it,"[{'short_answer1': [{'end_byte': 150293, 'end_token': 1081, 'start_byte': 150278, 'start_token': 1078}]}, {'short_answer2': [{'end_byte': 150293, 'end_token': 1081, 'start_byte': 150278, 'start_token': 1078}]}, {'short_answer3': [{'end_byte': 150433, 'end_token': 1090, 'start_byte': 150278, 'start_token': 1078}]}]",NONE
Arthur Chung,who was the first executive president of guyana,"[{'short_answer1': [{'end_byte': 62096, 'end_token': 496, 'start_byte': 62082, 'start_token': 494}]}, {'short_answer2': [{'end_byte': 62096, 'end_token': 496, 'start_byte': 62082, 'start_token': 494}]}, {'short_answer3': [{'end_byte': 58417, 'end_token': 199, 'start_byte': 58405, 'start_token': 197}]}, {'short_answer4': [{'end_byte': 58417, 'end_token': 199, 'start_byte': 58405, 'start_token': 197}]}]",NONE
Fear Factor: Khatron Ke Khiladi 8,khatron ke khiladi season 8 all contestant name,[],NONE
Now That's What I Call Music! 90 (UK series),now that's what i call music 90 song list,[],NONE
Santa Clarita Diet,who plays sven in the santa clarita diet,"[{'short_answer1': [{'end_byte': 71479, 'end_token': 1280, 'start_byte': 71469, 'start_token': 1278}]}, {'short_answer2': [{'end_byte': 71479, 'end_token': 1280, 'start_byte': 71469, 'start_token': 1278}]}, {'short_answer3': [{'end_byte': 71479, 'end_token': 1280, 'start_byte': 71469, 'start_token': 1278}]}, {'short_answer4': [{'end_byte': 71479, 'end_token': 1280, 'start_byte': 71469, 'start_token': 1278}]}]",NONE
Term limits in the United States,term limits for house of representatives and senate,"[{'short_answer1': [{'end_byte': 82589, 'end_token': 2421, 'start_byte': 82565, 'start_token': 2416}, {'end_byte': 82720, 'end_token': 2433, 'start_byte': 82696, 'start_token': 2428}]}]",NONE
The Return of Superman (TV series),the return of superman junu and junseo 2017,[],NONE
Lethe,the waters of lethe by the plains of elysium,[],NONE
1930 FIFA World Cup,who hosted and won the inagural world cup,"[{'short_answer1': [{'end_byte': 64528, 'end_token': 472, 'start_byte': 64521, 'start_token': 471}]}]",NONE
Safestyle UK,i said you buy one get one free advert,[],NONE
Loose connective tissue,adipose areolar and reticular connective tissues are considered loose connective tissue types,[],NONE
Bohrium,iupac name of element with atomic number 107,"[{'short_answer1': [{'end_byte': 109372, 'end_token': 1797, 'start_byte': 109365, 'start_token': 1796}]}]",NONE
Number Eight (Battlestar Galactica),when does boomer find out she a cylon,"[{'short_answer1': [{'end_byte': 60953, 'end_token': 1055, 'start_byte': 60838, 'start_token': 1049}]}, {'short_answer2': [{'end_byte': 60953, 'end_token': 1055, 'start_byte': 60823, 'start_token': 1046}]}]",NONE
Chinese garden,which of the following is not a key characteristic of chinese gardens,[],NONE
Do That to Me One More Time,song do that to me one more time lyrics,[],NONE
The Treasure of the Sierra Madre,who wrote the treasure of the sierra madre,"[{'short_answer1': [{'end_byte': 45004, 'end_token': 225, 'start_byte': 44891, 'start_token': 215}]}, {'short_answer2': [{'end_byte': 45004, 'end_token': 225, 'start_byte': 44891, 'start_token': 215}]}, {'short_answer3': [{'end_byte': 44968, 'end_token': 220, 'start_byte': 44959, 'start_token': 218}]}, {'short_answer4': [{'end_byte': 44968, 'end_token': 220, 'start_byte': 44891, 'start_token': 215}]}]",NONE
Star Destroyer,what was the name of darth vader star destroyer,"[{'short_answer1': [{'end_byte': 53765, 'end_token': 957, 'start_byte': 53755, 'start_token': 956}]}, {'short_answer2': [{'end_byte': 53765, 'end_token': 957, 'start_byte': 53755, 'start_token': 956}]}, {'short_answer3': [{'end_byte': 53765, 'end_token': 957, 'start_byte': 53748, 'start_token': 955}]}, {'short_answer4': [{'end_byte': 53765, 'end_token': 957, 'start_byte': 53755, 'start_token': 956}]}]",NONE
List of The Lion King characters,what is the female lion called in lion king,"[{'short_answer1': [{'end_byte': 84000, 'end_token': 2153, 'start_byte': 83996, 'start_token': 2152}]}, {'short_answer2': [{'end_byte': 84000, 'end_token': 2153, 'start_byte': 83996, 'start_token': 2152}]}]",NONE
Saskatchewan Highway 335,intersection of highways 335 and 35 in saskatchewan,[],NONE
First five-year plan,key features of the first five year plan,[],NONE
List of Star Wars: The Clone Wars episodes,how many seasons are in star wars the clone wars,"[{'short_answer1': [{'end_byte': 53329, 'end_token': 739, 'start_byte': 53328, 'start_token': 738}]}, {'short_answer2': [{'end_byte': 53329, 'end_token': 739, 'start_byte': 53328, 'start_token': 738}]}, {'short_answer3': [{'end_byte': 46184, 'end_token': 316, 'start_byte': 46183, 'start_token': 315}]}, {'short_answer4': [{'end_byte': 46184, 'end_token': 316, 'start_byte': 46183, 'start_token': 315}]}]",NONE
Chilliwack (band),who sings gone gone gone she been gone so long,"[{'short_answer1': [{'end_byte': 46504, 'end_token': 229, 'start_byte': 46494, 'start_token': 228}]}, {'short_answer2': [{'end_byte': 46504, 'end_token': 229, 'start_byte': 46494, 'start_token': 228}]}, {'short_answer3': [{'end_byte': 46504, 'end_token': 229, 'start_byte': 46494, 'start_token': 228}]}]",NONE
Next Australian federal election,when is the next senate election in australia,"[{'short_answer1': [{'end_byte': 44141, 'end_token': 42, 'start_byte': 44117, 'start_token': 36}]}, {'short_answer2': [{'end_byte': 44141, 'end_token': 42, 'start_byte': 44117, 'start_token': 36}]}]",NONE
Rwandan genocide,why was there a war between the hutu and the tutsi,[],NONE
Air gap (plumbing),what does the air gap do on a dishwasher,"[{'short_answer1': [{'end_byte': 57540, 'end_token': 285, 'start_byte': 57439, 'start_token': 269}]}, {'short_answer2': [{'end_byte': 56740, 'end_token': 156, 'start_byte': 56717, 'start_token': 154}]}, {'short_answer3': [{'end_byte': 57540, 'end_token': 285, 'start_byte': 57439, 'start_token': 269}]}, {'short_answer4': [{'end_byte': 57540, 'end_token': 285, 'start_byte': 57439, 'start_token': 269}]}]",NONE
NCIS: Los Angeles (season 3),ncis los angeles season 3 episode 16 cast,[],NONE
Monster Musume,will there be a 2nd season of monster musume,[],NONE
Abacus,how many different types of abacus are there,[],NONE
Bryce Dallas Howard,who does bryce dallas howard play in the grinch,"[{'short_answer1': [{'end_byte': 90679, 'end_token': 2430, 'start_byte': 90666, 'start_token': 2428}]}, {'short_answer2': [{'end_byte': 90679, 'end_token': 2430, 'start_byte': 90666, 'start_token': 2428}]}, {'short_answer3': [{'end_byte': 90679, 'end_token': 2430, 'start_byte': 90666, 'start_token': 2428}]}]",NONE
Judicial independence,independence of judiciary is the key to success of federalism examine the statement,[],NONE
List of Manchester City F.C. records and statistics,manchester city’s top premier league scorer this season,[],NONE
Tree-topper,what is the most popular item to put on top of a christmas tree,[],NONE
English alphabet,show me all the letters in the alphabet,[],NONE
The Way of the World,william congreve the way of the world characters,[],NONE
Massiah v. United States,in which of the following cases did the supreme court extend the 6th amendment,[],NONE
Heather Graham,who plays the girl in the sandlot 2,[],NONE
Cash flow statement,where does dividends go on cash flow statement,"[{'short_answer1': [{'end_byte': 72165, 'end_token': 2025, 'start_byte': 72133, 'start_token': 2021}]}]",NONE
180th meridian,what is the 180 degree line of longitude called,"[{'short_answer1': [{'end_byte': 44907, 'end_token': 120, 'start_byte': 44893, 'start_token': 118}, {'end_byte': 44930, 'end_token': 122, 'start_byte': 44918, 'start_token': 121}]}, {'short_answer2': [{'end_byte': 44930, 'end_token': 122, 'start_byte': 44893, 'start_token': 118}]}, {'short_answer3': [{'end_byte': 44930, 'end_token': 122, 'start_byte': 44918, 'start_token': 121}]}, {'short_answer4': [{'end_byte': 44930, 'end_token': 122, 'start_byte': 44893, 'start_token': 118}]}]",NONE
English Channel,where does the english channel begin and end,"[{'short_answer1': [{'end_byte': 42993, 'end_token': 77, 'start_byte': 42869, 'start_token': 71}]}, {'short_answer2': [{'end_byte': 57512, 'end_token': 809, 'start_byte': 55998, 'start_token': 739}, {'end_byte': 57626, 'end_token': 823, 'start_byte': 57526, 'start_token': 812}]}]",NONE
Legal person,when does the personality of a physical person and a legal person being and end,[],NONE
The Island with Bear Grylls,where is the island with bear grylls 2017 filmed,[],NONE
List of delegates to the Continental Congress,north carolina delegate to the second continental congress,"[{'short_answer1': [{'end_byte': 61864, 'end_token': 1316, 'start_byte': 61852, 'start_token': 1313}, {'end_byte': 67838, 'end_token': 1903, 'start_byte': 67820, 'start_token': 1901}, {'end_byte': 68128, 'end_token': 1934, 'start_byte': 68114, 'start_token': 1932}]}, {'short_answer2': [{'end_byte': 61864, 'end_token': 1316, 'start_byte': 61852, 'start_token': 1313}]}]",NONE
Dirk Benedict,who played the face in the a team,"[{'short_answer1': [{'end_byte': 44868, 'end_token': 132, 'start_byte': 44855, 'start_token': 130}]}, {'short_answer2': [{'end_byte': 44868, 'end_token': 132, 'start_byte': 44855, 'start_token': 130}]}, {'short_answer3': [{'end_byte': 44868, 'end_token': 132, 'start_byte': 44855, 'start_token': 130}]}, {'short_answer4': [{'end_byte': 44919, 'end_token': 142, 'start_byte': 44855, 'start_token': 130}]}]",NONE
Primary succession,describe the process of succession on a base rock,[],NONE
A Bridge Too Far (film),all mine by anthony produced by the bridge,[],NONE
What we've got here is failure to communicate,who said what we got here is failure to communicate,"[{'short_answer1': [{'end_byte': 44590, 'end_token': 164, 'start_byte': 44225, 'start_token': 136}]}, {'short_answer2': [{'end_byte': 44425, 'end_token': 148, 'start_byte': 44284, 'start_token': 137}, {'end_byte': 44590, 'end_token': 164, 'start_byte': 44498, 'start_token': 154}]}, {'short_answer3': [{'end_byte': 44425, 'end_token': 148, 'start_byte': 44284, 'start_token': 137}, {'end_byte': 44590, 'end_token': 164, 'start_byte': 44498, 'start_token': 154}]}]",NONE
Primary source,what is the difference between primary and archaeological sources,[],NONE
2010 eruptions of Eyjafjallajökull,when did the last volcano erupt in iceland,"[{'short_answer1': [{'end_byte': 59322, 'end_token': 183, 'start_byte': 59318, 'start_token': 182}]}]",NONE
Poverty threshold,when are you considered under the poverty line,[],NONE
If I Were a Boy,who wrote if i were a boy reba or beyonce,"[{'short_answer1': [{'end_byte': 139677, 'end_token': 355, 'start_byte': 139670, 'start_token': 353}, {'end_byte': 139736, 'end_token': 358, 'start_byte': 139728, 'start_token': 356}]}]",NONE
Casabianca (poem),in casabianca the boy's defining character trait is his (points 5),[],NONE
Hot cross bun,what is the white stuff on hot cross buns,"[{'short_answer1': [{'end_byte': 70668, 'end_token': 1155, 'start_byte': 70404, 'start_token': 1138}]}]",NONE
Scientific method,criticism is the backbone of the scientific method,[],NONE
List of Mount Everest records,who has climbed mount everest the number of times,"[{'short_answer1': [{'end_byte': 52567, 'end_token': 333, 'start_byte': 52557, 'start_token': 331}, {'end_byte': 53349, 'end_token': 357, 'start_byte': 53326, 'start_token': 354}, {'end_byte': 54171, 'end_token': 381, 'start_byte': 54151, 'start_token': 378}]}]",NONE
World War I,when did world war one begin and end,"[{'short_answer1': [{'end_byte': 95941, 'end_token': 1262, 'start_byte': 95897, 'start_token': 1253}]}, {'short_answer2': [{'end_byte': 95941, 'end_token': 1262, 'start_byte': 95909, 'start_token': 1255}]}, {'short_answer3': [{'end_byte': 95921, 'end_token': 1258, 'start_byte': 95909, 'start_token': 1255}, {'end_byte': 95941, 'end_token': 1262, 'start_byte': 95925, 'start_token': 1259}]}]",NONE
List of largest cities,was mexico city the largest city in the world,[],NONE
Displacement (vector),displacement as a vector with defined direction and distance,[],NONE
Chess clock,why do you use a clock in chess,"[{'short_answer1': [{'end_byte': 42090, 'end_token': 110, 'start_byte': 41961, 'start_token': 84}]}, {'short_answer2': [{'end_byte': 42090, 'end_token': 110, 'start_byte': 41961, 'start_token': 84}]}, {'short_answer3': [{'end_byte': 42035, 'end_token': 100, 'start_byte': 41961, 'start_token': 84}, {'end_byte': 42090, 'end_token': 110, 'start_byte': 42041, 'start_token': 102}]}]",NONE
The Glory Days Tour,who is opening for little mix glory days tour,"[{'short_answer1': [{'end_byte': 45964, 'end_token': 285, 'start_byte': 45955, 'start_token': 283}, {'end_byte': 46035, 'end_token': 288, 'start_byte': 46022, 'start_token': 286}, {'end_byte': 46048, 'end_token': 290, 'start_byte': 46041, 'start_token': 289}, {'end_byte': 46103, 'end_token': 293, 'start_byte': 46094, 'start_token': 291}, {'end_byte': 46173, 'end_token': 295, 'start_byte': 46165, 'start_token': 294}, {'end_byte': 46250, 'end_token': 298, 'start_byte': 46236, 'start_token': 296}, {'end_byte': 46382, 'end_token': 310, 'start_byte': 46373, 'start_token': 308}]}, {'short_answer2': [{'end_byte': 45964, 'end_token': 285, 'start_byte': 45955, 'start_token': 283}, {'end_byte': 46035, 'end_token': 288, 'start_byte': 46022, 'start_token': 286}, {'end_byte': 46048, 'end_token': 290, 'start_byte': 46041, 'start_token': 289}, {'end_byte': 46103, 'end_token': 293, 'start_byte': 46094, 'start_token': 291}, {'end_byte': 46173, 'end_token': 295, 'start_byte': 46165, 'start_token': 294}, {'end_byte': 46250, 'end_token': 298, 'start_byte': 46236, 'start_token': 296}, {'end_byte': 46382, 'end_token': 310, 'start_byte': 46373, 'start_token': 308}]}]",NONE
My Boyfriends' Dogs,where was the movie my boyfriends dogs filmed,[],NONE
J. B. Kripalani,who was the president of indian national congress during quit india movement,[],NONE
The Flash (season 4),when does the flash season 4 episode 3 air,"[{'short_answer1': [{'end_byte': 57529, 'end_token': 1072, 'start_byte': 57511, 'start_token': 1068}]}, {'short_answer2': [{'end_byte': 57529, 'end_token': 1072, 'start_byte': 57511, 'start_token': 1068}]}, {'short_answer3': [{'end_byte': 57529, 'end_token': 1072, 'start_byte': 57511, 'start_token': 1068}]}, {'short_answer4': [{'end_byte': 57529, 'end_token': 1072, 'start_byte': 57511, 'start_token': 1068}]}]",NONE
2016 Pittsburgh Steelers season,who did the steelers lose to in the playoffs last year,"[{'short_answer1': [{'end_byte': 63192, 'end_token': 459, 'start_byte': 63172, 'start_token': 456}]}, {'short_answer2': [{'end_byte': 63192, 'end_token': 459, 'start_byte': 63172, 'start_token': 456}]}]",NONE
Elaboration likelihood model,elaboration likelihood model of persuasion central vs. peripheral route,[],NONE
Attorney General of New York,office of the new york state attorney general,[],NONE
Denver Broncos,who did the broncos beat in the super bowl,"[{'short_answer1': [{'end_byte': 109696, 'end_token': 4151, 'start_byte': 109679, 'start_token': 4148}, {'end_byte': 110028, 'end_token': 4182, 'start_byte': 110013, 'start_token': 4180}, {'end_byte': 110446, 'end_token': 4214, 'start_byte': 110429, 'start_token': 4212}]}, {'short_answer2': [{'end_byte': 109696, 'end_token': 4151, 'start_byte': 109679, 'start_token': 4148}, {'end_byte': 110028, 'end_token': 4182, 'start_byte': 110013, 'start_token': 4180}, {'end_byte': 110446, 'end_token': 4214, 'start_byte': 110429, 'start_token': 4212}]}, {'short_answer3': [{'end_byte': 109696, 'end_token': 4151, 'start_byte': 109679, 'start_token': 4148}, {'end_byte': 110028, 'end_token': 4182, 'start_byte': 110013, 'start_token': 4180}, {'end_byte': 110446, 'end_token': 4214, 'start_byte': 110429, 'start_token': 4212}]}]",NONE
Dyatlov Pass incident,there is no more massive member of group 2,[],NONE
List of Girl Meets World episodes,when does zay come to girl meets world,"[{'short_answer1': [{'end_byte': 103557, 'end_token': 5989, 'start_byte': 103543, 'start_token': 5985}]}, {'short_answer2': [{'end_byte': 103407, 'end_token': 5971, 'start_byte': 103378, 'start_token': 5965}]}]",NONE
Flag of Earth,who designed the earth day flag in 1969,"[{'short_answer1': [{'end_byte': 61778, 'end_token': 292, 'start_byte': 61764, 'start_token': 290}]}, {'short_answer2': [{'end_byte': 61778, 'end_token': 292, 'start_byte': 61764, 'start_token': 290}]}, {'short_answer3': [{'end_byte': 61778, 'end_token': 292, 'start_byte': 61764, 'start_token': 290}]}, {'short_answer4': [{'end_byte': 61778, 'end_token': 292, 'start_byte': 61764, 'start_token': 290}]}]",NONE
Distance,the length and direction of a straight line between two locations or positions,"[{'short_answer1': [{'end_byte': 57140, 'end_token': 1106, 'start_byte': 57128, 'start_token': 1105}]}, {'short_answer2': [{'end_byte': 56388, 'end_token': 1012, 'start_byte': 56376, 'start_token': 1011}]}]",NONE
James Lafferty,who played nathan scott on one tree hill,"[{'short_answer1': [{'end_byte': 58197, 'end_token': 129, 'start_byte': 58176, 'start_token': 126}]}, {'short_answer2': [{'end_byte': 58197, 'end_token': 129, 'start_byte': 58176, 'start_token': 126}]}, {'short_answer3': [{'end_byte': 58197, 'end_token': 129, 'start_byte': 58176, 'start_token': 126}]}, {'short_answer4': [{'end_byte': 58197, 'end_token': 129, 'start_byte': 58176, 'start_token': 126}]}]",NONE
List of most expensive video games to develop,how much money did it cost to make gta v,[],NONE
List of Diary of a Wimpy Kid characters,who plays manny in diary of a wimpy kid,"[{'short_answer1': [{'end_byte': 87793, 'end_token': 1901, 'start_byte': 87769, 'start_token': 1897}, {'end_byte': 88009, 'end_token': 1924, 'start_byte': 87986, 'start_token': 1920}]}, {'short_answer2': [{'end_byte': 87793, 'end_token': 1901, 'start_byte': 87769, 'start_token': 1897}, {'end_byte': 88009, 'end_token': 1924, 'start_byte': 87986, 'start_token': 1920}]}]",NONE
Citrus Bowl,where is the citrus bowl held this year,"[{'short_answer1': [{'end_byte': 49472, 'end_token': 400, 'start_byte': 49369, 'start_token': 393}]}, {'short_answer2': [{'end_byte': 45027, 'end_token': 80, 'start_byte': 45006, 'start_token': 77}]}]",NONE
